"Authors,""Author full names"",""Author(s) ID"",""Title"",""Year"",""Source title"",""Volume"",""Issue"",""Art. No."",""Page start"",""Page end"",""Page count"",""Cited by"",""DOI"",""Link"",""Abstract"",""Author Keywords"",""Index Keywords"",""Document Type"",""Publication Stage"",""Open Access"",""Source"",""EID""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"De Luca E.; Nardi C.; Giuffrida L.G.; Krug M.; Di Nucci M.R.,""De Luca, Elena (35113005200)"; Nardi, Cecilia (57216628143); Giuffrida, Laura Gaetana (58583463300); Krug, Michael (7005071073);" Di Nucci, Maria Rosaria (14323062100)"",""35113005200";57216628143;58583463300;7005071073;" 14323062100"",""Explaining factors leading to community acceptance of wind energy. Results of an expert assessment"",""2020"",""Energies"",""13"",""8"",""2119"","""","""","""",""21"",""10.3390/en13082119"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084113147&doi=10.3390%2fen13082119&partnerID=40&md5=6544de14c528ecb50eb43e5b7fbe61ff"",""The present article deals with two key drivers of social acceptance of wind energy: procedural justice and distributional justice. It is based on a comparative expert assessment carried out in the frame of the Horizon 2020 project WinWind covering six European countries. The focus of the paper is on procedural and financial participation of citizens and local stakeholders in wind energy projects. The first part covers institutional arrangements for public engagement in two areas of the decision-making process-wind turbine zoning/siting in spatial plans and authorization procedures. Here, three levels of public involvement-information, consultation and participation-were analyzed. The second part examines active and financial participation of citizens and local stakeholders. Here, we distinguish between two different modes of governance: institutionalized forms of public governance and voluntary forms of corporate governance. The outcomes suggest that concrete paths to the social acceptance of wind energy are fostered via appropriate institutional spaces for public engagement. Furthermore, missing opportunities for active and passive financial participation can have strong negative consequences for community acceptance. © 2020 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/)."",""Participation"; Public involvement; Social acceptance;" Wind energy"",""Decision making"; Finance; Public policy; Social aspects; Authorization procedure; Corporate governance; Decision making process; European Countries; Institutional arrangement; Procedural justice; Public involvement; Wind energy projects;" Wind power"",""Article"",""Final"",""All Open Access";" Gold Open Access"",""Scopus"",""2-s2.0-85084113147""";;;;;;;;;;;;;;;;
"le Maitre J.,""le Maitre, Julia (58000339900)"",""58000339900"",""Price or public participation? Community benefits for onshore wind in Ireland, Denmark, Germany and the United Kingdom"",""2024"",""Energy Research and Social Science"",""114"","""",""103605"","""","""","""",""3"",""10.1016/j.erss.2024.103605"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195022003&doi=10.1016%2fj.erss.2024.103605&partnerID=40&md5=a97fbb9b6988d98d19070ea3101baa6d"",""Efforts to promote community acceptance of wind energy include a range of ‘financial participation’ mechanisms focused on residents near to commercial wind farms, such as community benefit funding, citizen investment opportunities, incentives for households nearest to wind farms, as well as administrative supports to promote community ownership of wind farms. This review compares the adaptation of policies introduced by Germany, Denmark, the United Kingdom, and Ireland to investigate how the roles of community stakeholders interconnect with the European Union's commitment to accelerate onshore wind deployment. These mature markets view onshore wind energy as an essential contribution towards the net-zero electricity system, security of supply, and energy independence. The comparative case study highlights that the interaction between market-based and community-based approaches to wind energy development has seen the size, scale and formality of financial benefits increase while supports for small-scale community-led wind energy have been considerably reduced. The continued paradigm shift narrows the scope for community participation in wind farms and presents considerations and paradoxes regarding the role of communities in local energy transitions. Recommendations consider the need for flexibility regarding the geographic “proximity criteria” for citizen participation, approaches to include communities into the governance and disbursement of shared benefits, and the potential to encourage citizen investment into onshore wind energy. These contribute to the debate regarding the balance between objectives of the energy transition: to promote meaningful citizen participation and benefit at a local scale while rapidly reducing the levelized cost of renewable energy for the wider benefit of society. © 2024 The Author"",""Financial benefits"; Investment; Social acceptance; Sustainable development;" Wind energy"","""",""Review"",""Final"",""All Open Access";" Hybrid Gold Open Access"",""Scopus"",""2-s2.0-85195022003""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bode A.; Salecki S.; Hirschl B.,""Bode, Annika (58001195200)"; Salecki, Steven (55632844500);" Hirschl, Bernd (12787443700)"",""58001195200";55632844500;" 12787443700"",""Unlocking local value-added opportunities in the energy transition in former coal regions—the case of Lusatia (Lausitz)";" [Mobilisierung endogener Energiewendepotenziale in ehemaligen Braunkohleregionen am Beispiel der Lausitz]"",""2024"",""List Forum fur Wirtschafts- und Finanzpolitik"",""49"",""1-4"","""",""69"",""92"",""23"",""0"",""10.1007/s41025-023-00254-1"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183737205&doi=10.1007%2fs41025-023-00254-1&partnerID=40&md5=3c2c5ccfcfbf509991e78654ba1cb8cf"",""The main result of this study is that Lusatia, as an energy transition and structural change region, still has high expansion potential for photovoltaic and wind energy systems. In 2040, electricity production from wind turbines could reach four times the current level. In the case of photovoltaic systems, around seven to eight times the current level is possible. Only in the area of biomass has the expansion potential already been largely exhausted. The building sector can also contribute to achieving climate neutrality. If the renovation rate is significantly increased to 3.3% per year by 2040, the required heating energy can be reduced by around 60%. At the same time, these energy transition scenarios are evaluated with regard to their regional economic opportunities for Lusatia. In an ambitious climate neutrality scenario, around 450 million euros in regional added value can be generated in 2040 and around 3560 full-time jobs can be filled. In order for this to succeed, however, the citizens and municipalities must first be given more opportunities for financial participation through appropriate framework conditions at federal and state level. We see financial benefits for the population and the municipalities as a critical success factor in order to be able to provide the necessary space, initiate investments and ultimately contribute to local acceptance. © The Author(s) 2024."",""Climate neutrality"; Energy transition; Financial participation; Regional economic analysis;" Renewable energies"","""",""Article"",""Final"",""All Open Access";" Hybrid Gold Open Access"",""Scopus"",""2-s2.0-85183737205""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hyland M.; Bertsch V.,""Hyland, Marie (55575261000)";" Bertsch, Valentin (15118908400)"",""55575261000";" 15118908400"",""The Role of Community Involvement Mechanisms in Reducing Resistance to Energy Infrastructure Development"",""2018"",""Ecological Economics"",""146"","""","""",""447"",""474"",""27"",""46"",""10.1016/j.ecolecon.2017.11.016"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040766629&doi=10.1016%2fj.ecolecon.2017.11.016&partnerID=40&md5=fe28adcc9de5b6fea50e0d16d986c156"",""Across the EU, significant investments are being made in renewable generation and grid technologies, however, policy makers and planners are frequently met with resistance from local communities to proposed infrastructure development. Offering some form of involvement to the affected communities may reduce objections and minimise project delays. We carry out a nationally-representative survey of Irish citizens to analyse how different involvement methods affect acceptance. Ireland is a useful case study because of its high RES-E targets. Survey respondents are presented with four involvement models for the local construction of a wind farm, and two for the local development of the transmission grid. We find a preference for schemes in which people receive financial compensation without sharing in the ownership and associated risks of project development. Our econometric analyses show that socio-demographic characteristics such as age and income are significant predictors of people's acceptance under different schemes. Moreover, we find that the satisfaction with local planning procedures and the trade-off people make between environmental sustainability and economic competitiveness are consistently associated with people's attitudes. Such evidence can help policy makers better understand and design policies to minimise resistance to energy infrastructure development. © 2017 Elsevier B.V."",""Community compensation"; Community involvement; Grid expansion; Renewable energy;" Social acceptance"",""Ireland"; alternative energy; compensation system; competitiveness; construction; ecological economics; infrastructural development; local participation; local planning; model; public attitude; smart grid; socioeconomic conditions; sustainability; trade-off;" wind farm"",""Article"",""Final"",""All Open Access";" Green Open Access"",""Scopus"",""2-s2.0-85040766629""";;;;;;;;;;;;;;;;;;
"Kaldellis J.K.,""Kaldellis, J.K. (7003349885)"",""7003349885"",""Social attitude towards wind energy applications in Greece"",""2005"",""Energy Policy"",""33"",""5"","""",""595"",""602"",""7"",""163"",""10.1016/j.enpol.2003.09.003"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-6444223615&doi=10.1016%2fj.enpol.2003.09.003&partnerID=40&md5=1e8e9b848887b2055fbd1726ebeb0921"",""During the last 3 yr (1999-2002) a significant increase in the utilization of the existing wind power has taken place in Greece, after a long period (1993-1998) of inactivity. Unfortunately, the largest part of new scheduled installations is concentrated in a few geographical regions, in an attempt to take advantage of the existing electrical network capabilities and the acceptable infrastructure situation. This significant concentration of very large size wind turbines, rapidly installed in a few geographical areas, led to serious reactions from the local population, which in some cases even led to the complete cancellation of the wind power projects. In this context, an extensive study is conducted, concerning the public attitude towards wind energy applications, in several island and mainland Greek territories possessing high wind potential and investment interest. The results obtained significantly reveal acceptance of the existing wind parks, being, however, rather against new installations. More specifically, in the Greek islands the public attitude is clearly supportive, while in the Greek mainland the public attitude is either divided or definitely against wind power applications. The most troublesome outcome of this survey is the existence of a specific minority that is strongly against wind energy applications, disregarding any financial benefits. Among the primary conclusions drawn, one may underline the necessity of additional public information regarding the wind energy sector. © 2003 Elsevier Ltd. All rights reserved."",""Nimby"; Public survey; Social attitude;" Wind energy"",""Eurasia"; Europe; Greece; Southern Europe; Circuit theory; Geographical regions; Installation; Wind turbines; alternative energy; public attitude; wind power; wind turbine; Electrical network capabilites; Wind energy applications; Wind power projects;" Wind power"",""Article"",""Final"","""",""Scopus"",""2-s2.0-6444223615""";;;;;;;;;;;;;;;;;;;;;;
"Knauf J.,""Knauf, Jakob (57419790100)"",""57419790100"",""Can't buy me acceptance? Financial benefits for wind energy projects in Germany"",""2022"",""Energy Policy"",""165"","""",""112924"","""","""","""",""30"",""10.1016/j.enpol.2022.112924"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128196793&doi=10.1016%2fj.enpol.2022.112924&partnerID=40&md5=67ff83f399705ccbdbbca67d38642b23"",""Local opposition to wind energy projects in Europe and North America is growing. This often causes project delays or even failure. Financial benefits may be one way to counteract a lack of community support. This analysis seeks to explain how discounted electricity, payments to the municipality, and payments for social purposes shift the acceptance of communities about a local wind energy project. A choice-based conjoint analysis among 811 German citizens showed that financial benefits increase citizens’ acceptance of a hypothetical wind energy project in the close vicinity of their homes. Proponents and the large group of citizens with rather weak preferences for local wind energy projects appreciate all tested benefits. In contrast, benefits cannot win over the small group of opponents. The study provides evidence that benefits do not ensure the perception of fair distributive justice, even for citizens with weak preferences. The findings inform current policies that introduce benefit schemes for wind energy projects to foster community acceptance and win over majority support for projects. © 2022 The Author"",""Choice experiment"; Community acceptance; Distributive justice; Financial benefits; Segmentation;" Wind energy"",""Germany"; Energy policy; Finance; Choice experiments; Choice-based conjoint; Community acceptance; Community support; Conjoint analysis; Distributive justice; Financial benefits; Project delays; Segmentation; Wind energy projects; alternative energy; experimental study; finance; segmentation; wind power;" Wind power"",""Article"",""Final"",""All Open Access";" Hybrid Gold Open Access"",""Scopus"",""2-s2.0-85128196793""";;;;;;;;;;;;;;;;
"Mills S.B.; Bessette D.; Smith H.,""Mills, Sarah Banas (57196118934)"; Bessette, Douglas (55673921300);" Smith, Hannah (57712956400)"",""57196118934";55673921300;" 57712956400"",""Exploring landowners’ post-construction changes in perceptions of wind energy in Michigan"",""2019"",""Land Use Policy"",""82"","""","""",""754"",""762"",""8"",""53"",""10.1016/j.landusepol.2019.01.010"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060295597&doi=10.1016%2fj.landusepol.2019.01.010&partnerID=40&md5=9e9bc24fec15f12ff6e7a8a1e7f35ac6"",""Researchers have suggested that residents’ acceptance of wind turbines follow a U-shaped curve over time, starting with generally positive attitudes about wind energy, dipping once a project is proposed, and then rebounding after construction. This research considers how residents’ perceptions of the benefits and negative impacts of wind turbines shift post-construction by surveying the same individuals (n = 520) at two time periods after a nearby wind project became operational. We find that residents’ perceptions follow two separate trajectories based on their perception of the fairness of the wind siting planning process and—to a lesser extent—whether they have a direct financial stake in the wind project. Residents who perceived a fair planning process tended to perceive greater benefits of wind turbines, job creation, and revenues for landowners specifically, while residents who perceived an unfair process perceived significantly greater negative impacts, including visual and noise problems, reduction of nearby property values, and human health problems. These results suggest that while energy business models that extent direct financial compensation to more landowners impact the attitudes of residents in the short-term, resident attitudes about procedural justice may have implications that extend well beyond the project planning stage, impacting long-term support for adding new and repowering old turbines. © 2019 Elsevier Ltd"",""Community acceptance"; Direct compensation; Perceived impacts; Procedural justice;" Wind energy"",""Michigan"; United States; compensation system; landowner; perception; public attitude; social justice;" wind turbine"",""Article"",""Final"","""",""Scopus"",""2-s2.0-85060295597""";;;;;;;;;;;;;;;;;;;;;;;;;
"Walker B.J.A.; Wiersma B.; Bailey E.,""Walker, Benjamin J.A. (56659583100)"; Wiersma, Bouke (55555141000);" Bailey, Etienne (55975559400)"",""56659583100";55555141000;" 55975559400"",""Community benefits, framing and the social acceptance of offshore wind farms: An experimental study in England"",""2014"",""Energy Research and Social Science"",""3"",""C"","""",""46"",""54"",""8"",""153"",""10.1016/j.erss.2014.07.003"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923066355&doi=10.1016%2fj.erss.2014.07.003&partnerID=40&md5=e1704c71335ded6544bb40af15683c7a"",""The provision of community benefits, payments to communities affected by renewable energy developments, has received significant policy-maker attention in recent years. This research explores whether the provision of community benefits associates with increased local support for a hypothetical, future offshore wind farm in Exmouth (UK), using an experimental methodology (n = 311). Participants were allocated to one of three framing conditions: (i) a 'no-framed condition', presenting basic information about a possible wind farm without mentioning community benefits"; (ii) a 'community benefit frame', highlighting the likely community benefits that would accompany a wind farm;" or (iii) a 'dual framing' condition, presenting information about community benefits alongside critical perspectives that commonly surround these (perceptions of 'bribery'). Support for the development was greatest under the community benefit frame. However, this heightened support diminished in a context of social contestation (the dual framing condition). Elevated perceptions of collective rather than individual outcome favourability or procedural justice explained why support was greatest under the community benefit frame. Ensuring and communicating that community benefits offer a 'good deal' to communities, rather than focusing on individual benefits, may be the most viable avenue to increase support for renewable energy developments through community benefits. © 2014 Elsevier Ltd. All rights reserved."",""Community benefits"; Framing; Public engagement;" Wind farms"","""",""Article"",""Final"","""",""Scopus"",""2-s2.0-84923066355""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Schönauer A.-L.; Glanz S.,""Schönauer, Anna-Lena (55228550600)";" Glanz, Sabrina (57208125892)"",""55228550600";" 57208125892"",""Local conflicts and citizen participation in the German energy transition: Quantitative findings on the relationship between conflict and participation"",""2023"",""Energy Research and Social Science"",""105"","""",""103267"","""","""","""",""8"",""10.1016/j.erss.2023.103267"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171338638&doi=10.1016%2fj.erss.2023.103267&partnerID=40&md5=8f577442598814e7133dad4d718abc26"",""The expansion of wind energy is accompanied by numerous local conflicts. Dialogue-oriented and financial citizen participation processes are seen as instruments to increase local acceptance. So far, no information is available when, how often and under which circumstances conflicts arise. Moreover, there are no quantitative empirical findings on the relationship between conflicts and participation procedures. The article addresses this research gap. Based on quantitative Data on conflicts and participation procedures in the expansion of wind energy in Lower Saxony, the article shows that local conflicts often occur where new wind farms are planned. Repowering or the expansion of existing wind farms is less likely to be accompanied by conflicts. In addition, there seems to be habituation effects. This means that in municipalities where many wind turbines are already in operation, there are fewer conflicts than in municipalities with fewer wind turbines. The multiple correlation analysis shows a clear correlation between the occurrence of local conflicts and the availability of dialogue-oriented and financial participation procedures. The question of whether the conflict is a consequence of the participation process or whether the participation process is a consequence of the conflict cannot be answered. Further research is needed to answer this question. © 2023 Elsevier Ltd"",""Acceptance"; Database; Dialogue; Local conflicts; Participation;" Wind energy"","""",""Article"",""Final"","""",""Scopus"",""2-s2.0-85171338638""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Liao V.T.C.,""Liao, Victor Te Cheng (57793330500)"",""57793330500"",""Marine spatial planning identifies solutions for offshore wind farms at fishery and environment in Taiwan territorial waters"",""2023"",""Energy and Environment"","""","""","""","""","""","""",""0"",""10.1177/0958305X231194720"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170386346&doi=10.1177%2f0958305X231194720&partnerID=40&md5=3f3ff3ff4bd6cb9a875673ffa5256504"",""Some fishery and environmental organizations criticize offshore wind farms affecting fishery livelihood and marine ecological biological environment. The problems offshore wind farm directly affect the fishing ground due to ocean currents, marine ecology, and the marine environment being changed. In addition, fishing operations may carelessly damage undersea offshore wind farm cables disrupting energy operations, many fishing activities are restricted within the offshore wind farm areas and marine ecological biological environment has been damaged by offshore wind farm. However, marine spatial planning could coordinate offshore wind farm stakeholders and conducts marine environmental impact assessments to identify suitable offshore wind farms. The purpose finds solutions for offshore wind farm in the fishery and marine ecological biological environment. The research questions are how to reduce offshore wind farm impact on fishery livelihood and marine ecological biological environment through marine spatial planning and marine environmental impact assessment in the Taiwan territorial waters. In online questionnaires of 404 respondents, 64.36% supported marine spatial planning site selection and marine environmental impact assessment could reduce offshore wind farm impact"; 66.83% agreed offshore wind farm coexistence with multiple uses, increasing fishery and biodiversity;" 58.17% agreed on public financial participation in offshore wind farm to increase social acceptance. The findings are consistent with previous research. However, interviewees challenged that multiple uses coexistence might affect some populations in the ecosystem and further investigations are required. Another, 50.50% agreed on updated regulations of marine spatial planning, marine environmental impact assessment, insurance, specific fund, feedback, and compensation of offshore wind farm that could improve fishery livelihood and marine ecological biological environment. Finally, based on the study results, the paper suggests that energy policy could open public financial participation in offshore wind farm increasing social acceptance, skill training influenced groups for employment, enhancing fishery livelihood, and protecting marine ecological biological environment. © The Author(s) 2023."",""marine aquaculture"; marine ecological biological environment; marine environmental impact assessment; marine spatial planning; multiple uses;" Offshore wind farms"",""Biodiversity"; Electric utilities; Environmental impact assessments; Environmental regulations; Fisheries; Ocean currents; Offshore oil well production; Site selection; Social aspects; Biological environments; Environmental organizations; Fishing ground; Marine aquaculture; Marine ecological biological environment; Marine environmental impact assessment; Marine Spatial Planning; Multiple use; Social acceptance; Territorial waters;" Offshore wind farms"",""Article"",""Article in press"","""",""Scopus"",""2-s2.0-85170386346""";;;;;;;;;;;;;;
"Leer Jørgensen M.; Anker H.T.; Lassen J.,""Leer Jørgensen, Marie (57209693804)"; Anker, Helle Tegner (6602731512);" Lassen, Jesper (35588564000)"",""57209693804";6602731512;" 35588564000"",""Distributive fairness and local acceptance of wind turbines: The role of compensation schemes"",""2020"",""Energy Policy"",""138"","""",""111294"","""","""","""",""68"",""10.1016/j.enpol.2020.111294"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078784706&doi=10.1016%2fj.enpol.2020.111294&partnerID=40&md5=f06ae1d6a39c2ed4dbb0576765693013"",""To address increasing opposition to wind projects in Denmark three compensation schemes were introduced in the 2008 Renewable Energy Act. The aim was to address issues of distributive fairness and thereby to increase local acceptance. This paper analyses the role of two individual compensation schemes – the property value-loss scheme and the co-ownership scheme – on local citizens’ perceptions of fair distribution of the benefits and burdens of wind energy projects. The qualitative case study of three Danish wind energy projects discloses that distributive unfairness was a prevalent concern among local citizens, and that this concern was inseparable from perceptions of procedural fairness and recognition. The key conclusion is that the two compensation schemes are not successfully offsetting perceptions of unfair distribution. The schemes are challenged by a multitude of intertwined concerns. The compensation schemes are not equipped to address the plethora of non-monetary values affected by the wind projects. Specifically the compensation schemes are criticised for not offering adequate local benefits or distribution thereof, equal access, fair procedures and transparency. In fact the schemes were by some considered unfair and created perceptions of lack of recognition and bribery which undermined their role in promoting distributive fairness and local acceptance. © 2020 Elsevier Ltd"",""Co-ownership"; Community benefit; Compensation; Environmental justice; Local acceptance;" Wind energy"",""Denmark"; Compensation (personnel); Energy policy; Wind turbines; Community benefit; Compensation scheme; Environmental justice; Local acceptance; Procedural fairness; Qualitative case studies; Renewable energies; Wind energy projects; alternative energy; compensation system; cost-benefit analysis; energy policy; environmental justice; local participation; perception; wind power; wind turbine;" Wind power"",""Article"",""Final"","""",""Scopus"",""2-s2.0-85078784706""";;;;;;;;;;
