,Unnamed: 0.1,Unnamed: 0,Unnamed..0,loc,created_at,latitude,longitude,username,text,text_translated,geometry,year_month,index_right,CNTR_CODE,Number of Posts,Topics
0,0,1.0,267824.0,Hamburg,2020-02-29 21:17:42+00:00,53.550.341,10.000.654,321727.0,"RT @BWEeV: Unser Landesverband @bwe_sh    hat eine Studie veröffentlicht, ertellt vom @DIWECON  aus Berlin. Fazit: #Windenergie generiert h…",rt @ bweev : regional association @ bwe_sh published study conducted @ diwecon berlin . conclusion : # wind energy generates h…,POINT (10.000654 53.550341),2020-02,2.0,DE,1,25
1,1,2.0,267860.0,Hamburg,2020-02-29 18:05:25+00:00,53.550.341,10.000.654,895744.0,"RT @EvaStegen: @jdoeschner @ZDF #KannsteDirNichtAusdenken
Geräusche eines Windrads neben der Autotobahn beeinträchtigen angeblich die Erhol…",rt @ evastegen : @ jdoeschner @ zdf # cantimagineit noise wind turbine next highway reportedly disrupting rest ...,POINT (10.000654 53.550341),2020-02,2.0,DE,1,35
2,2,3.0,267915.0,Hamburg,2020-02-29 12:44:11+00:00,53.550.341,10.000.654,324256.0,"@BlondRengarPaul @veltensa @cAPSLOCKcHRIS @sven_kindler @Die_Gruenen Im Übrigen hat man mit PV und Windkraft ein sehr viel größeres Müllproblem für das es kaum eine sinnvolle Lösung gibt, abgesehen von Vergraben - und da geht es um giftige Stoffe, die sich um Gegensatz zur radioaktiven Strahlung auch nie abbauen.","@ blondrengarpaul @ veltensa @ capslockchris @ sven_kindler @ die_gruenen incidentally , pv wind power much bigger waste problem hardly sensible solution , apart burying - involves toxic substances , unlike radioactive radiation , never break .",POINT (10.000654 53.550341),2020-02,2.0,DE,1,0
3,3,4.0,268015.0,Hamburg,2020-02-28 22:46:14+00:00,53.550.341,10.000.654,321727.0,"Was behindert die #Energiewende ? Oder muss es nicht eher heißen, wer...? https://t.co/pIpkeaZRbV",s hindering # energytransition ? nt ... ?,POINT (10.000654 53.550341),2020-02,2.0,DE,1,44
4,4,5.0,268125.0,Hamburg,2020-02-28 16:04:58+00:00,53.550.341,10.000.654,566537.0,"RT @detloff_kim: @JasperMeya @sascha_m_k @TspBackgroundEK @Umwelthilfe Naturschutz bremst? Falsche Aussage, die Klima- u. Naturschutz schad…",rt @ detloff_kim : @ jaspermeya @ sascha_m_k @ tspbackgroundek @ umwelthilfe nature conservation slowing ? false statement harms climate nature conservation ...,POINT (10.000654 53.550341),2020-02,2.0,DE,1,3
5,5,6.0,268188.0,Hamburg,2020-02-28 11:59:07+00:00,53.550.341,10.000.654,349423.0,Windkraftausbau in Schleswig-Holstein weiterhin gestoppt #windenergie #Moratorium #Windenergie #Ausbau #Gericht #Bauplan #Baurecht #Windkraftanlage #Update #Rechtssprechung #Bau #Genehmigung https://t.co/z2XoVknazy,wind power expansion schleswig-holstein still halted # windenergy # moratorium # windenergy # expansion # court # construction plan # building law # wind turbine # update # jurisprudence # construction # permit,POINT (10.000654 53.550341),2020-02,2.0,DE,1,13
6,6,7.0,268201.0,Hamburg,2020-02-28 11:19:38+00:00,53.550.341,10.000.654,566537.0,"@Polyphem10 Das weiß ich nicht, aber selbst wenn sie es ist, gibt es, Zitat @NABU_de , keinen ungeeigneteren Standort für einen Windpark als diesen.","@ polyphem10 nt know , even , , quote @ nabu_de , less suitable location wind farm one .",POINT (10.000654 53.550341),2020-02,2.0,DE,1,-1
8,8,9.0,268315.0,Hamburg,2020-02-28 07:47:10+00:00,53.550.341,10.000.654,349423.0,Mitinitiator des EEG Referent beim Smart Energy Symposium am 06.05.2020 in Hamburg #windenergie #Jubiläum #Hans-JosefFell #Bundestag #Rot-Grün #Beschluss #Parlament #SPD #Grüne #EnergyWatchGroup #Netzwerk #Wissenschaftler #Klimawandel #Energiewende #Kohle https://t.co/qsuSeGUhGg,"co-initiator eeg speaker smart energy symposium may 6 , 2020 hamburg # windenergy # anniversary # hans-joseffell # bundestag # red-green # resolution # parliament # spd # greens # energywatchgroup # network # scientists # climatechange # energytransition # coal",POINT (10.000654 53.550341),2020-02,2.0,DE,1,-1
9,9,10.0,268365.0,Hamburg,2020-02-28 00:37:46+00:00,53.550.341,10.000.654,101304.0,"Das ist die Wahrheit! Liebe Leute, wacht endlich auf! Die Merkel-Regierung belügt das Volk! Windkraft und E-Autos verbrennen unser Geld und zerstören EURE Arbeitsplätze! https://t.co/UZqp0Jn9aZ",new lsf39 grinder rough tasks # windenergy # tool # machine # surface finishing # revolutions # performance # ergonomics # deburring # milling,POINT (10.000654 53.550341),2020-02,2.0,DE,1,-1
10,10,11.0,268388.0,Hamburg,2020-02-27 21:53:22+00:00,53.550.341,10.000.654,370555.0,"RT @ChristophBeisl1: Warum Peter Altmaier und die CDU die #Windenergie vollständig an die Wand fahren...
Eine Reportage über Spitzentechnol…",rt @ christophbeisl1 : peter altmaier cdu completely driving # windenergy ground ... report cutting-edge technology ...,POINT (10.000654 53.550341),2020-02,2.0,DE,1,-1
