,Unnamed..0,loc,created_at,latitude,longitude,username,text,text_translated,geometry,year_month,index_right,CNTR_CODE
1,267824,Hamburg,2020-02-29 21:17:42+00:00,53.550.341,10.000.654,321727,"RT @BWEeV: Unser Landesverband @bwe_sh    hat eine Studie veröffentlicht, ertellt vom @DIWECON  aus Berlin. Fazit: #Windenergie generiert h…",RT @BWEeV: Our regional association @bwe_sh has published a study conducted by @DIWECON in Berlin. Conclusion: #Wind energy generates h…,POINT (10.000654 53.550341),2020-02,2,DE
2,267860,Hamburg,2020-02-29 18:05:25+00:00,53.550.341,10.000.654,895744,"RT @EvaStegen: @jdoeschner @ZDF #KannsteDirNichtAusdenken
Geräusche eines Windrads neben der Autotobahn beeinträchtigen angeblich die Erhol…","RT @EvaStegen: @jdoeschner @ZDF #Can'tImagineIt
Noise from a wind turbine next to the highway is reportedly disrupting rest...",POINT (10.000654 53.550341),2020-02,2,DE
3,267915,Hamburg,2020-02-29 12:44:11+00:00,53.550.341,10.000.654,324256,"@BlondRengarPaul @veltensa @cAPSLOCKcHRIS @sven_kindler @Die_Gruenen Im Übrigen hat man mit PV und Windkraft ein sehr viel größeres Müllproblem für das es kaum eine sinnvolle Lösung gibt, abgesehen von Vergraben - und da geht es um giftige Stoffe, die sich um Gegensatz zur radioaktiven Strahlung auch nie abbauen.","@BlondRengarPaul @veltensa @cAPSLOCKcHRIS @sven_kindler @Die_Gruenen Incidentally, with PV and wind power we have a much bigger waste problem for which there is hardly any sensible solution, apart from burying it - and that involves toxic substances which, unlike radioactive radiation, never break down.",POINT (10.000654 53.550341),2020-02,2,DE
4,268015,Hamburg,2020-02-28 22:46:14+00:00,53.550.341,10.000.654,321727,"Was behindert die #Energiewende ? Oder muss es nicht eher heißen, wer...? https://t.co/pIpkeaZRbV",What's hindering the #energytransition? Or shouldn't it be more about who...? https://t.co/pIpkeaZRbV,POINT (10.000654 53.550341),2020-02,2,DE
5,268125,Hamburg,2020-02-28 16:04:58+00:00,53.550.341,10.000.654,566537,"RT @detloff_kim: @JasperMeya @sascha_m_k @TspBackgroundEK @Umwelthilfe Naturschutz bremst? Falsche Aussage, die Klima- u. Naturschutz schad…",RT @detloff_kim: @JasperMeya @sascha_m_k @TspBackgroundEK @Umwelthilfe Is nature conservation slowing down? False statement that harms climate and nature conservation...,POINT (10.000654 53.550341),2020-02,2,DE
6,268188,Hamburg,2020-02-28 11:59:07+00:00,53.550.341,10.000.654,349423,Windkraftausbau in Schleswig-Holstein weiterhin gestoppt #windenergie #Moratorium #Windenergie #Ausbau #Gericht #Bauplan #Baurecht #Windkraftanlage #Update #Rechtssprechung #Bau #Genehmigung https://t.co/z2XoVknazy,Wind power expansion in Schleswig-Holstein still halted #windenergy #moratorium #windenergy #expansion #court #construction plan #building law #wind turbine #update #jurisprudence #construction #permit https://t.co/z2XoVknazy,POINT (10.000654 53.550341),2020-02,2,DE
7,268201,Hamburg,2020-02-28 11:19:38+00:00,53.550.341,10.000.654,566537,"@Polyphem10 Das weiß ich nicht, aber selbst wenn sie es ist, gibt es, Zitat @NABU_de , keinen ungeeigneteren Standort für einen Windpark als diesen.","@Polyphem10 I don't know, but even if it is, there is, quote @NABU_de , no less suitable location for a wind farm than this one.",POINT (10.000654 53.550341),2020-02,2,DE
8,268269,Hamburg,2020-02-28 09:03:45+00:00,53.550.341,10.000.654,349423,Neuer LSF39-Schleifer für raue Aufgaben #windenergie #Werkzeug #Maschine #Oberflächenbearbeitung #Umdrehungen #Leistung #Ergonomie #Entgratungsarbeiten #Fräsaufgaben https://t.co/EcBqAJ0LXN,New LSF39 grinder for rough tasks #windenergy #tool #machine #surface finishing #revolutions #performance #ergonomics #deburring #milling https://t.co/EcBqAJ0LXN,POINT (10.000654 53.550341),2020-02,2,DE
9,268315,Hamburg,2020-02-28 07:47:10+00:00,53.550.341,10.000.654,349423,Mitinitiator des EEG Referent beim Smart Energy Symposium am 06.05.2020 in Hamburg #windenergie #Jubiläum #Hans-JosefFell #Bundestag #Rot-Grün #Beschluss #Parlament #SPD #Grüne #EnergyWatchGroup #Netzwerk #Wissenschaftler #Klimawandel #Energiewende #Kohle https://t.co/qsuSeGUhGg,"Co-initiator of the EEG speaker at the Smart Energy Symposium on May 6, 2020 in Hamburg #windenergy #anniversary #Hans-JosefFell #Bundestag #Red-Green #resolution #parliament #SPD #Greens #EnergyWatchGroup #network #scientists #climatechange #energytransition #coal https://t.co/qsuSeGUhGg",POINT (10.000654 53.550341),2020-02,2,DE
10,268365,Hamburg,2020-02-28 00:37:46+00:00,53.550.341,10.000.654,101304,"Das ist die Wahrheit! Liebe Leute, wacht endlich auf! Die Merkel-Regierung belügt das Volk! Windkraft und E-Autos verbrennen unser Geld und zerstören EURE Arbeitsplätze! https://t.co/UZqp0Jn9aZ","This is the truth! Dear people, wake up! The Merkel government is lying to the people! Wind power and electric cars are burning our money and destroying YOUR jobs! https://t.co/UZqp0Jn9aZ",POINT (10.000654 53.550341),2020-02,2,DE
