Topic,Count,Name,Representation,Representative_Docs
-1,1891,-1_wind_power_rt_energy,"['wind', 'power', 'rt', 'energy', 'wind power', 'wind energy', 'windenergy', 'turbines', 'nt', 'expansion']","['makes move cdu lower saxony surprising . advocates construction wind turbines forests . ‼️wind power : wind turbines forests ?', 're helping denmark achieve eu climate leadership . germany keeps dreaming ! innovations win-win situation climate economy wind energy improvements -public acceptance -noise reduction -co2 reduction -yield # greennewdeal', 'dramatic decline construction : new wind turbines short supply onshore wind power expansion crisis worsening . hardly new turbines came operation 2019 . figures likely fuel political debate . without wind power , ...']"
0,403,0_germany_wind_energy_electricity,"['germany', 'wind', 'energy', 'electricity', 'power', 'wind power', 'german', 'rt', 'wind energy', 'sabine']","['german wind energy association ( # bweev ) : wind energy will become germany s important energy source first time 2019 \x96 figures must obscure current crisis', 'newspaper_energy `` storm yulia drives wind power new record : electricity production wind power germany reached new peak. ``', 'storm yulia drives wind power new record : electricity production wind power germany reached new peak .']"
1,329,1_nuclear_power_nuclear power_energy,"['nuclear', 'power', 'nuclear power', 'energy', 'solar', 'wind power', 'wind', 'electricity', 'nt', 'pv']","['yes , # wind power cheaper # nuclear power . : nuclear power cheaper coal gas ( +co2-free ) , enormous power , requires little space , extremely safe , independent weather ( ! ) . true , affordable energy transition possible # renewables # nuclear power .', '`` wind power cheaper coal nuclear power  🌝', 'rt @ rrechsteiner : france replacing nuclear power wind power closing 14 nuclear power plants 2035 . old nuclear power plants will replaced nuclear ...']"
2,181,2_distance_rule_altmaier_distance rule,"['distance', 'rule', 'altmaier', 'distance rule', 'minimum', 'rt', 'blanket', 'wind', 'distances', 'peter altmaier']","['best news day energy transition : altmaier wants abolish blanket distance rule wind power via @ derspiegel', 'energy transition : altmaier wants abolish blanket distance rule wind power via @ derspiegel', 'wind power : peter altmaier wants abolish blanket distance rule']"
3,145,3_alpine_alpine republic_energy alpine_republic austria,"['alpine', 'alpine republic', 'energy alpine', 'republic austria', 'republic', 'austria wind', 'austria', 'wind energy', 'energy', 'wind']","['wind energy alpine republic austria', 'wind energy alpine republic austria', 'wind energy alpine republic austria']"
4,107,4_offshore_offshore wind_onshore_onshore wind,"['offshore', 'offshore wind', 'onshore', 'onshore wind', 'wind', 'expansion', 'farm', 'wind farm', 'sea', 'historic']","['handelsblatt : renewables : orsted builds first offshore wind farm without subsidies electricity goes chemical company covestro 10 years . largest ppa offshore wind date .', '# orsted builds first offshore # wind farm without subsidies -', 'rt @ hstubner : hb : @ orsted builds first offshore wind farm without subsidies - project north sea first offshore wind…']"
5,85,5_allowance_spd_citizen_participation,"['allowance', 'spd', 'citizen', 'participation', 'acceptance', 'citizen allowance', 'citizens', 'wind citizen', 'municipalities', 'spd wants']","['roundup : acceptance wind power increase – wind citizen s allowance  ?', 'berlin : acceptance wind power increase `` wind citizen s allowance ', 'acceptance wind power increase – `` wind citizen s allowance  ?']"
6,77,6_climate_climate protection_protection_rt,"['climate', 'climate protection', 'protection', 'rt', 'goals', 'climateprotection', 'energytransition', 'must', 'achieve', 'wind power']","['rt @ vorwaerts : `` can # climate protection without renewable energies ,  says @ mpstephanweil . `` # wind energy must go drain ...', 'plan b climate protection', 'politicians placing strong emphasis # innovation # climate protection . much already exists ( e.g. , # wind power , # pv , # heat pump ) – just nt use . others – e.g. , # electric # scooter – `` eco  inventions barely contribute climate protection .']"
7,73,7_species_conservation_species conservation_protection,"['species', 'conservation', 'species conservation', 'protection', 'species protection', 'nature conservation', 'nature', 'rt', 'climate protection', 'jakrueger']","['combining wind energy species conservation -', '# energytransition - species conservation vs. wind power - `` s interlinking species conservation energy transition closely possible  - good interview oliver krischer jörg-andreas krüger', '# species conservation # climate protection belong together . @ j_a_krueger @ nabu_de sums conversation @ oliver_krischer : `` without # energytransition , might well skip # species conservation . ']"
8,69,8_turbine_wind turbine_turbines_wind turbines,"['turbine', 'wind turbine', 'turbines', 'wind turbines', 'wind', 'windmill', 'rt', 'villages', 'town', 'metal']","['550 wind turbines paderborn district , one-third around small town lichtenau . good example # energytransition . lichtenau shows s done ! sure check ! @ arminlaschet @ daniel_sieveke @ a_pinkwart', 'rt @ rbb24 : # wind turbine collapses wittstock . reason , according operator : worn-out screws . wind turbines need mandatory inspection ?', '# wind turbine collapses wittstock . according operator , reason : worn screws . wind turbines require mandatory inspection tüv ( german technical inspection agency ) ? @ vdtuev_news # windpower # energytransition # windturbine # safety']"
9,63,9_hydrogen_green hydrogen_green_offshore,"['hydrogen', 'green hydrogen', 'green', 'offshore', 'offshore wind', 'surplus', 'energy', 'gigastack', 'electrolysis', 'wind']","['100 mw electrolysis british # offshorewind farm : `` gigastack ,  danish energy group @ orsteduk plant manufacturer itm power aim demonstrate large-scale conversion offshore # wind power # hydrogen .', '@ peteraltmaier @ bmwi_bund dream blue # hydrogen # ccs , elsewhere path paved green # hydrogen # offshore # wind . also something german # hydrogen strategy !', '`` gigastack ,  danish energy group örsted plant manufacturer itm power aim demonstrate large-scale conversion # offshore wind power hydrogen . stated goal : cost degression # electrolysis green # hydrogen .']"
