,Unnamed: 0.1,Unnamed: 0,Unnamed..0,loc,created_at,latitude,longitude,username,text,text_translated,geometry,year_month,index_right,CNTR_CODE,Number of Posts,Topics
0,0,1,267824,Hamburg,2020-02-29 21:17:42+00:00,53.550.341,10.000.654,321727,"RT @BWEeV: Unser Landesverband @bwe_sh    hat eine Studie veröffentlicht, ertellt vom @DIWECON  aus Berlin. Fazit: #Windenergie generiert h…",rt @ bweev : regional association @ bwe_sh published study conducted @ diwecon berlin . conclusion : # wind energy generates h…,POINT (10.000654 53.550341),2020-02,2,DE,1,-1
1,1,2,267860,Hamburg,2020-02-29 18:05:25+00:00,53.550.341,10.000.654,895744,"RT @EvaStegen: @jdoeschner @ZDF #KannsteDirNichtAusdenken
Geräusche eines Windrads neben der Autotobahn beeinträchtigen angeblich die Erhol…",rt @ evastegen : @ jdoeschner @ zdf # cantimagineit noise wind turbine next highway reportedly disrupting rest ...,POINT (10.000654 53.550341),2020-02,2,DE,1,31
2,2,3,267915,Hamburg,2020-02-29 12:44:11+00:00,53.550.341,10.000.654,324256,"@BlondRengarPaul @veltensa @cAPSLOCKcHRIS @sven_kindler @Die_Gruenen Im Übrigen hat man mit PV und Windkraft ein sehr viel größeres Müllproblem für das es kaum eine sinnvolle Lösung gibt, abgesehen von Vergraben - und da geht es um giftige Stoffe, die sich um Gegensatz zur radioaktiven Strahlung auch nie abbauen.","@ blondrengarpaul @ veltensa @ capslockchris @ sven_kindler @ die_gruenen incidentally , pv wind power much bigger waste problem hardly sensible solution , apart burying - involves toxic substances , unlike radioactive radiation , never break .",POINT (10.000654 53.550341),2020-02,2,DE,1,-1
3,3,4,268015,Hamburg,2020-02-28 22:46:14+00:00,53.550.341,10.000.654,321727,"Was behindert die #Energiewende ? Oder muss es nicht eher heißen, wer...? https://t.co/pIpkeaZRbV",s hindering # energytransition ? nt ... ?,POINT (10.000654 53.550341),2020-02,2,DE,1,-1
4,4,5,268125,Hamburg,2020-02-28 16:04:58+00:00,53.550.341,10.000.654,566537,"RT @detloff_kim: @JasperMeya @sascha_m_k @TspBackgroundEK @Umwelthilfe Naturschutz bremst? Falsche Aussage, die Klima- u. Naturschutz schad…",rt @ detloff_kim : @ jaspermeya @ sascha_m_k @ tspbackgroundek @ umwelthilfe nature conservation slowing ? false statement harms climate nature conservation ...,POINT (10.000654 53.550341),2020-02,2,DE,1,7
5,5,6,268188,Hamburg,2020-02-28 11:59:07+00:00,53.550.341,10.000.654,349423,Windkraftausbau in Schleswig-Holstein weiterhin gestoppt #windenergie #Moratorium #Windenergie #Ausbau #Gericht #Bauplan #Baurecht #Windkraftanlage #Update #Rechtssprechung #Bau #Genehmigung https://t.co/z2XoVknazy,wind power expansion schleswig-holstein still halted # windenergy # moratorium # windenergy # expansion # court # construction plan # building law # wind turbine # update # jurisprudence # construction # permit,POINT (10.000654 53.550341),2020-02,2,DE,1,19
6,6,7,268201,Hamburg,2020-02-28 11:19:38+00:00,53.550.341,10.000.654,566537,"@Polyphem10 Das weiß ich nicht, aber selbst wenn sie es ist, gibt es, Zitat @NABU_de , keinen ungeeigneteren Standort für einen Windpark als diesen.","@ polyphem10 nt know , even , , quote @ nabu_de , less suitable location wind farm one .",POINT (10.000654 53.550341),2020-02,2,DE,1,-1
7,7,8,268269,Hamburg,2020-02-28 09:03:45+00:00,53.550.341,10.000.654,349423,Neuer LSF39-Schleifer für raue Aufgaben #windenergie #Werkzeug #Maschine #Oberflächenbearbeitung #Umdrehungen #Leistung #Ergonomie #Entgratungsarbeiten #Fräsaufgaben https://t.co/EcBqAJ0LXN,new lsf39 grinder rough tasks # windenergy # tool # machine # surface finishing # revolutions # performance # ergonomics # deburring # milling,POINT (10.000654 53.550341),2020-02,2,DE,1,8
8,8,9,268315,Hamburg,2020-02-28 07:47:10+00:00,53.550.341,10.000.654,349423,Mitinitiator des EEG Referent beim Smart Energy Symposium am 06.05.2020 in Hamburg #windenergie #Jubiläum #Hans-JosefFell #Bundestag #Rot-Grün #Beschluss #Parlament #SPD #Grüne #EnergyWatchGroup #Netzwerk #Wissenschaftler #Klimawandel #Energiewende #Kohle https://t.co/qsuSeGUhGg,"co-initiator eeg speaker smart energy symposium may 6 , 2020 hamburg # windenergy # anniversary # hans-joseffell # bundestag # red-green # resolution # parliament # spd # greens # energywatchgroup # network # scientists # climatechange # energytransition # coal",POINT (10.000654 53.550341),2020-02,2,DE,1,34
9,9,10,268365,Hamburg,2020-02-28 00:37:46+00:00,53.550.341,10.000.654,101304,"Das ist die Wahrheit! Liebe Leute, wacht endlich auf! Die Merkel-Regierung belügt das Volk! Windkraft und E-Autos verbrennen unser Geld und zerstören EURE Arbeitsplätze! https://t.co/UZqp0Jn9aZ","truth ! dear people , wake ! merkel government lying people ! wind power electric cars burning money destroying jobs !",POINT (10.000654 53.550341),2020-02,2,DE,1,23
10,10,11,268388,Hamburg,2020-02-27 21:53:22+00:00,53.550.341,10.000.654,370555,"RT @ChristophBeisl1: Warum Peter Altmaier und die CDU die #Windenergie vollständig an die Wand fahren...
Eine Reportage über Spitzentechnol…",rt @ christophbeisl1 : peter altmaier cdu completely driving # windenergy ground ... report cutting-edge technology ...,POINT (10.000654 53.550341),2020-02,2,DE,1,2
11,11,12,268495,Hamburg,2020-02-27 14:59:09+00:00,53.550.341,10.000.654,158524,"RT @chrz_5: Danke @ZDFzoom für die beste Darstellung der politischen Hindernisse für #Windenergie in Deutschland. Windenergie ist günstig,…","rt @ chrz_5 : thanks @ zdfzoom best presentation political obstacles # windenergy germany . wind energy cheap , …",POINT (10.000654 53.550341),2020-02,2,DE,1,0
12,12,13,268606,Hamburg,2020-02-27 10:52:29+00:00,53.550.341,10.000.654,279322,Flaute in der #Windkraft. #Energiewende am Ende? Was tun gegen den #Klimawandel? Guter Bericht über den Absturz der #Windenergie &amp; #PeterAltmaier von Jörg Moll. https://t.co/EzXYImu1ub,lull # wind power . # energy transition end ? can done # climatechange ? good report collapse # wind energy & amp ; # peteraltmaier jörg moll .,POINT (10.000654 53.550341),2020-02,2,DE,1,-1
13,13,14,268630,Hamburg,2020-02-27 10:20:04+00:00,53.550.341,10.000.654,652181,RT @peter_simone: ZDFzoom: „Das Ende der Energiewende?“ - Wer es nicht sehen konnte - jetzt in der ZDFmediathek. Wie der kostengünstige Kli…,"rt @ peter_simone : zdfzoom : `` end energy transition ?  - nt get see , s now available zdf media library . cost-effective climate ...",POINT (10.000654 53.550341),2020-02,2,DE,1,0
14,14,15,268667,Hamburg,2020-02-27 09:42:18+00:00,53.550.341,10.000.654,321727,#Kommentar : Die #Windenergie hat ganz andere #Probleme als die 1000-#Meter-Abstandsregel https://t.co/yZhji3RxvM,# comment : # wind energy completely different # problems 1000-meter distance rule,POINT (10.000654 53.550341),2020-02,2,DE,1,2
15,15,16,268899,Hamburg,2020-02-26 22:00:03+00:00,53.550.341,10.000.654,256675,"@tapioliller @peteraltmaier Danke für den Tipp. Ich verstehe nicht, was Altmeier (CDU) da reitet. Windkraft wird abgewürgt, Arbeitsplätze abgebaut. FDP-Rösler und CDU-Röttgen haben vor ca. 10 Jahren die deutsche Solarwirtschaft gestoppt und ca. 40.000 Arbeitsplätze im Mittelstand vernichtet.","@ tapioliller @ peteraltmaier thanks tip . nt understand altmeier ( cdu ) . wind power strangled , jobs cut . 10 years ago , rösler ( fdp ) röttgen ( cdu ) stopped german solar industry destroyed approximately 40,000 jobs small medium-sized businesses .",POINT (10.000654 53.550341),2020-02,2,DE,1,15
16,16,17,268977,Hamburg,2020-02-26 18:22:10+00:00,53.550.341,10.000.654,321727,RT @VQuaschning: Nach dem #Windkraft-Einbruch an Land schwächelt auch die #Offshore-Windkraft. Dabei brauchen wir einen starken Zubau für u…,"rt @ vquaschning : onshore # windpower slump , # offshorewindpower also weakening . yet need significant expansion ...",POINT (10.000654 53.550341),2020-02,2,DE,1,4
17,17,18,269044,Hamburg,2020-02-26 15:29:18+00:00,53.550.341,10.000.654,492210,"Ein starker Sturm kann für jedes Schiff gefährlich sein. Bei d. Santorini kam am 25.2. hinzu, dass ein Ruderblatt verloren ging, sie trieb manövrierunfähig Richtung Windpark. Das ist für die Seeleute an Bord eine schwierige Situation. Ein Schlepper half.  
Foto: Havariekommando. https://t.co/OaXeXHrcQM","strong storm can dangerous ship . february 25 , santorini lost rudder blade , drifted toward wind farm , unable maneuver . difficult situation sailors board . tugboat assisted . photo : central command maritime emergencies .",POINT (10.000654 53.550341),2020-02,2,DE,1,-1
